english,swahili,status
eat,kula,
drink,kunywa,
come,kuja,
go,kwenda,
see,kuona,
want,kutaka,
speak,kuzungumza,
know,kujua,
love,kupenda,
take,kuchukua,
give,kutoa,
sleep,kulala,
work,kufanya kazi,
help,kusaidia,
play,kucheza,
